id,question,answer
1,What kind of wall mount is needed for the Vibe S1 55 Inch Interactive Whiteboard?,"You would need to purchase a third-party TV wall mount that supports VESA 200X200 and is capable of supporting at least 65 pounds. The supported screw model is M6, and the length depends on the mount but should be between 12-20mm."
2,What cables are needed to setup the Vibe S1 55 Inch Interactive Whiteboard for touch functionality?,"For touch functionality, you would need a USB-C video monitor cable or an A-Male to B-Male printer cable, along with an HDMI cable."
3,Is the stylus included with the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, one stylus is included with the board."
4,How much does an additional active stylus for the Vibe S1 55 Inch Interactive Whiteboard cost?,An additional active stylus costs $40 USD.
5,Does Vibe ship to PO Box addresses?,"No, Vibe does not ship to PO Box addresses."
6,Is Vibe compatible with Microsoft products?,"Yes, Vibe boards are compatible with Microsoft products."
7,Does the Chromium OS run on the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, the Chromium OS runs on both the Vibe S1 55"" and Vibe S1 75"" Interactive Whiteboard."
8,Can I see demos or articles on how Vibe is used in a preschool setting?,"Yes, there is a 20 minute demo, ""Teaching with Vibe,"" that showcases features and applications used by educators, and there are case studies available from teachers like Hannah Brown and Robyn Cooper."
9,Is there a difference between a Vibe Canvas and a virtual demo?,"Yes, a Vibe Canvas is the use of free whiteboarding software, while a virtual demo includes a live presentation via Zoom showing how the Vibe board works and an expert explaining its utility for specific use cases."
10,Can I get a cost estimate for multiple Vibe S1 55 Inch Interactive Whiteboards?,"Certainly, we can provide a cost estimate when you provide us with your billing/shipping address, contact name and number, and the required quantity."
11,Is there a discount for purchasing multiple Vibe S1 55 Inch Interactive Whiteboards?,"Discounts for bulk purchases are possible, and we can discuss this once you provide the necessary details for a quote."
12,Is free shipping available when purchasing Vibe products?,"Yes, we can apply free shipping to your order if you have received an email from us stating that you are eligible for free shipping."
13,Can I purchase a replacement power supply for the Vibe S1 55 Inch Interactive Whiteboard?,"You can purchase a compatible power cord on Amazon for $9.99. However, Vibe does not sell internal parts like the power supply board. If you're experiencing power issues, contacting Vibe support is recommended as the board might need to be replaced."
14,How can I contact Vibe support if I have an issue with my Vibe S1 board?,The Vibe support team can be reached at support@vibe.us or through creating a support ticket on the Vibe Knowledge Base.
15,"What ""complimentary wall mount accessories"" are included with the Vibe S1 75 Inch Interactive Whiteboard?","The standard wall mount is included with the purchase of the Vibe S1 75 Inch Interactive Whiteboard, so there is no need to buy an additional one."
16,"Do the wall mounts for Vibe S1 75 Inch Interactive Whiteboard articulate, turn, or extend?","No, the wall mount for the Vibe S1 75 Inch Interactive Whiteboard doesn't articulate."
17,What is the VESA size of the wall mount for the Vibe S1 75 Inch Interactive Whiteboard?,The wall mount for the Vibe S1 75 Inch Interactive Whiteboard has a VESA of 800 x 400 mm.
18,What is the weight capacity and dimensions of the wall mount for the Vibe S1 75 Inch Interactive Whiteboard?,"The wall mount for the Vibe S1 75 Inch Interactive Whiteboard can support up to 108 lbs, with a depth of 52.3mm (2.1 inches) when combining the A-Plate (21.7mm) with B-Bars (30.6mm)."
19,What are the dimensions of the 55 inch board in the package delivered?,"The dimensions are provided in the link to the Vibe Smart Whiteboard S1 55"" Tech Specs on our website."
20,Where can I find the pairing code for the VibeOne app?,"The pairing code appears on the bottom right side of the Vibe board after you select ""pairing is required"" on the app on your phone. Then you will receive a pop-up on the board asking to allow or dismiss the request. Upon selecting ""Allow,"" the code will be displayed on the board and you need to enter it into your phone. If the pop-up disappears, you just need to select pairing on your phone again for it to reappear."
21,Can the Vibe board be mounted vertically?,"No, the Vibe board is designed to be used in landscape mode and is not meant to be mounted vertically. Even though portrait apps will work with the board in landscape mode, they will have black boundaries on the sides."
22,"Where can I find recommendations for wall mounts compatible with the Vibe Board S1 55""?","Recommendations for wall mounts that are compatible with the Vibe Board S1 55"" can be found in this article: https://vibe.how/en/articles/7007320-wall-mounts-for-vibe-board-s1-55. Most TV wall mounts that support VESA 200X200 and can support at least 65 pounds will work. The supported screw model is M6, and the length should be between 12-20mm."
23,How can a business buy direct from Vibe by using a PO?,"A business can buy direct from Vibe by first getting a quote from us to create a PO, and we offer net 30 terms."
24,Are there any dealer discounts available when purchasing from Vibe?,"Yes, we have reseller pricing and discounts that you can avail of once you sign up for the Vibe Reseller Program."
25,How does a business become a distributor or get dealer discounts?,"To become a distributor or get dealer discounts, visit the Vibe Reseller Program page to fill in the Vibe reseller Partner form and provide your resale certificate, W-9, and tax forms via the specified email to be considered for an official reseller quote."
